"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G6/G7","G7","175","175","55790","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","375","375","37040","34020"
"In post","2021","20-29","Department for Education (excl. agencies)","AA/AO","AO","20","20","22140","21000"
"In post","2021","20-29","Department for Education (excl. agencies)","EO","EO","310","305","26930","26000"
"In post","2021","20-29","Department for Education (excl. agencies)","G6/G7","G6","25","25","63620","64180"
"In post","2021","20-29","Department for Education (excl. agencies)","G6/G7","G7","190","185","52480","53420"
"In post","2021","20-29","Department for Education (excl. agencies)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","SEO/HEO","HEO","425","420","32060","32870"
"In post","2021","20-29","Department for Education (excl. agencies)","SEO/HEO","SEO","285","280","39760","40230"
"In post","2021","20-29","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","40","35","22130","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","165","160","26580","25190"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","10","10","60620","61710"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","135","135","52270","52290"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","550","545","31930","32560"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","220","220","38400","38750"
"In post","2021","20-29","Department for International Trade","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","EO","EO","120","120","26590","26510"
"In post","2021","20-29","Department for International Trade","G6/G7","G6","20","20","60880","62170"
"In post","2021","20-29","Department for International Trade","G6/G7","G7","215","215","50740","51970"
"In post","2021","20-29","Department for International Trade","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","SEO/HEO","HEO","380","380","31790","32000"
"In post","2021","20-29","Department for International Trade","SEO/HEO","SEO","205","205","38320","38540"
"In post","2021","20-29","Department for Transport (excl. agencies)","AA/AO","AO","20","20","23560","25730"
"In post","2021","20-29","Department for Transport (excl. agencies)","EO","EO","175","175","28540","29970"
"In post","2021","20-29","Department for Transport (excl. agencies)","G6/G7","G6","20","20","64460","65440"
"In post","2021","20-29","Department for Transport (excl. agencies)","G6/G7","G7","155","155","54060","54650"
"In post","2021","20-29","Department for Transport (excl. agencies)","SEO/HEO","HEO","395","395","34040","34710"
"In post","2021","20-29","Department for Transport (excl. agencies)","SEO/HEO","SEO","160","160","42060","42470"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","AA/AO","AO","3600","3495","21440","21010"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","EO","EO","5925","5845","28450","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","G6/G7","G7","85","85","54440","54070"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","515","510","33370","31990"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","170","170","38140","37710"
