"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Chinese","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","No function","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
