"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Communications","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Wales","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Communications","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Communications","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","London","175","175","32970","30060"
"In post","2021","Black","Counter Fraud","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Black","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","West Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Counter Fraud","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Debt","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","London","95","90","27610","25630"
"In post","2021","Black","Debt","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Debt","South East (England)","Outside London","[c]","[c]","[c]","[c]"
