"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Competition and Markets Authority","London","EO","25","25","28140","27920"
"In post","2021","20-29","Competition and Markets Authority","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","G7","30","30","55800","54660"
"In post","2021","20-29","Competition and Markets Authority","London","HEO","50","50","34210","33610"
"In post","2021","20-29","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","G7","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","AO","10","10","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","EO","10","10","22570","22570"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Outside London","AO","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Outside London","EO","40","40","22480","22230"
"In post","2021","20-29","Crown Commercial Service","Outside London","G7","5","5","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Outside London","HEO","45","45","27660","27770"
"In post","2021","20-29","Crown Commercial Service","Outside London","SEO","25","25","33550","34800"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","AO","205","190","21610","21490"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","EO","95","95","26030","25410"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","HEO","15","15","31980","31720"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","SEO","75","75","37220","37940"
"In post","2021","20-29","Crown Prosecution Service","London","AO","115","115","22400","23520"
"In post","2021","20-29","Crown Prosecution Service","London","EO","75","75","27230","26970"
"In post","2021","20-29","Crown Prosecution Service","London","G7","15","15","51900","50520"
"In post","2021","20-29","Crown Prosecution Service","London","HEO","35","35","35090","31560"
"In post","2021","20-29","Crown Prosecution Service","London","SEO","10","10","39940","39750"
"In post","2021","20-29","Crown Prosecution Service","Outside London","AO","310","305","21340","21950"
"In post","2021","20-29","Crown Prosecution Service","Outside London","EO","180","180","26110","25480"
"In post","2021","20-29","Crown Prosecution Service","Outside London","G7","55","55","49630","48080"
"In post","2021","20-29","Crown Prosecution Service","Outside London","HEO","80","80","36060","38000"
"In post","2021","20-29","Crown Prosecution Service","Outside London","SEO","10","10","[c]","[c]"
