"Status","Year","Age","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","60-64","No function","Department for International Trade","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Driver and Vehicle Licensing Agency","Operational Delivery","35","[c]","20490","21590"
"Leaver CS","2021","60-64","No function","Driver and Vehicle Licensing Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Driver and Vehicle Standards Agency","Operational Delivery","40","[c]","29260","26780"
"Leaver CS","2021","60-64","No function","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","ESTYN","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Food Standards Agency","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Government Internal Audit Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Health and Safety Executive","Operational Delivery","30","[c]","46090","45240"
"Leaver CS","2021","60-64","No function","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","HM Courts and Tribunals Service","Operational Delivery","200","[c]","21570","20100"
"Leaver CS","2021","60-64","No function","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","HM Land Registry","Operational Delivery","45","[c]","30800","33180"
"Leaver CS","2021","60-64","No function","HM Prison and Probation Service","Operational Delivery","345","[c]","36280","31650"
"Leaver CS","2021","60-64","No function","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","HM Prison and Probation Service","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Insolvency Service","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Maritime and Coastguard Agency","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Maritime and Coastguard Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Justice (excl. agencies)","Operational Delivery","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","National Crime Agency","Operational Delivery","30","[c]","42610","40480"
"Leaver CS","2021","60-64","No function","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","25","[c]","68250","75500"
"Leaver CS","2021","60-64","No function","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office of Gas and Electricity Markets","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Planning Inspectorate","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Public Health England","Medicine","20","[c]","106200","110680"
"Leaver CS","2021","60-64","No function","Public Health England","Operational Delivery","30","[c]","47740","36330"
"Leaver CS","2021","60-64","No function","Public Health England","Science and Engineering","15","[c]","39310","40030"
"Leaver CS","2021","60-64","No function","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Scottish Prison Service","Operational Delivery","30","[c]","37820","33650"
"Leaver CS","2021","60-64","No function","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","Serious Fraud Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","The National Archives","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","UK Hydrographic Office","Operational Delivery","10","[c]","35370","34700"
"Leaver CS","2021","60-64","No function","UK Intellectual Property Office","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","No function","United Kingdom Statistics Authority","Operational Delivery","20","[c]","21260","19130"
"Leaver CS","2021","60-64","No function","Vehicle Certification Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Commercial","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Other","30","[c]","33340","31590"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Project Delivery","15","[c]","49180","41830"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Equipment and Support","Science and Engineering","15","[c]","45220","45460"
"Leaver CS","2021","60-64","Project Delivery","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Science and Technology Laboratory","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Department for International Development","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Department for International Development","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Department for International Development","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Ministry of Defence (excl. agencies)","Project Delivery","45","[c]","41370","39510"
"Leaver CS","2021","60-64","Project Delivery","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Project Delivery","Submarine Delivery Agency","Science and Engineering","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","FCDO Services","Property","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Forestry and Land Scotland","Unknown","10","[c]","28760","26530"
"Leaver CS","2021","60-64","Property","Ministry of Defence (excl. agencies)","Property","35","[c]","31070","29950"
"Leaver CS","2021","60-64","Property","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","United Kingdom Statistics Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Property","Valuation Office Agency","Property","40","[c]","35890","33250"
"Leaver CS","2021","60-64","Security","Cabinet Office (excl. agencies)","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","Department for International Development","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Security","Ministry of Defence (excl. agencies)","Security","75","[c]","31300","38120"
"Leaver CS","2021","60-64","Security","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Policy","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Department for Transport (excl. agencies)","Unknown","15","[c]","48040","42940"
"Leaver CS","2021","60-64","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","860","[c]","27620","26890"
"Leaver CS","2021","60-64","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Education and Skills Funding Agency","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Education Scotland","Unknown","10","[c]","67450","67720"
"Leaver CS","2021","60-64","Unknown","FCDO Services","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Foreign and Commonwealth Office (excl. agencies)","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","1160","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Intelligence Analysis","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Operational Delivery","60","[c]","28880","27370"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Home Office (incl. agencies)","Unknown","80","[c]","31780","28040"
"Leaver CS","2021","60-64","Unknown","Medicines and Healthcare Products Regulatory Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Medicines and Healthcare Products Regulatory Agency","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Met Office","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Intelligence Analysis","10","[c]","47310","39260"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Medicine","15","[c]","50330","37890"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Operational Delivery","15","[c]","25920","26800"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Other","190","[c]","27010","25920"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Policy","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Science and Engineering","30","[c]","29980","27370"
"Leaver CS","2021","60-64","Unknown","Ministry of Defence (excl. agencies)","Unknown","20","[c]","35830","33300"
"Leaver CS","2021","60-64","Unknown","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Royal Fleet Auxiliary","Other","35","[c]","42950","37300"
"Leaver CS","2021","60-64","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Scottish Government (excl. agencies)","Unknown","65","[c]","48090","46600"
"Leaver CS","2021","60-64","Unknown","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Transport Scotland","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Veterinary Medicines Directorate","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Operational Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Other","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Policy","15","[c]","49310","37410"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Welsh Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Analysis","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Analysis","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","Wilton Park","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Communications","Defence Equipment and Support","Other","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Communications","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Communications","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Communications","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Counter Fraud","Insolvency Service","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Counter Fraud","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Maritime and Coastguard Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","UK Hydrographic Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Ministry of Defence (excl. agencies)","Finance","10","[c]","28290","21830"
"Leaver CS","2021","65+","Finance","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Public Health England","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Finance","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Grants Management","Rural Payments Agency","Operational Delivery","10","[c]","27690","25210"
"Leaver CS","2021","65+","Grants Management","Rural Payments Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Human Resources","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Human Resources","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Human Resources","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
