"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared disabled","Project Delivery","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Valuation Office Agency","HM Revenue and Customs","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","40","[c]","31070","31740"
"Leaver CS","2021","Declared disabled","Security","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Education (excl. agencies)","Department for Education","30","[c]","43800","41760"
"Leaver CS","2021","Declared disabled","Unknown","Department for Transport (excl. agencies)","Department for Transport","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","655","[c]","26430","26890"
"Leaver CS","2021","Declared disabled","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Education and Skills Funding Agency","Department for Education","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","620","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Home Office (incl. agencies)","Home Office","145","[c]","29820","26410"
"Leaver CS","2021","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","160","[c]","30090","25970"
"Leaver CS","2021","Declared disabled","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Government (excl. agencies)","Scottish Government","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Social Security Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Welsh Government (excl. agencies)","Welsh Government","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Competition and Markets Authority","Competition and Markets Authority","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Government Actuary's Department","Chancellor's other departments","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","HM Treasury (excl. agencies)","HM Treasury","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Defence Equipment and Support","Ministry of Defence","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","HM Prison and Probation Service","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","40","[c]","36380","35050"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","UK Export Finance","UK Export Finance","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Cabinet Office (excl. agencies)","Cabinet Office","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Competition and Markets Authority","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Defence Equipment and Support","Ministry of Defence","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Public Health England","Department of Health and Social Care","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
