"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AO","Heterosexual / straight","145","135","23080","24370"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AO","Unknown","40","35","23780","24370"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","EO","Heterosexual / straight","125","115","27770","28170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6","Unknown","[c]","[c]","[c]","[c]"
