"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Communications","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Finance","Outside London","60","[c]","34930","33300"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Human Resources","London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Human Resources","Outside London","55","[c]","27640","22080"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Intelligence Analysis","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Intelligence Analysis","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Medicine","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Medicine","Outside London","120","[c]","42540","37890"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Medicine","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Operational Delivery","Outside London","40","[c]","25850","21750"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Other","London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Other","Outside London","650","[c]","26040","22080"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Other","Overseas","40","[c]","38560","36960"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Policy","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Policy","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Project Delivery","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Project Delivery","Outside London","120","[c]","38060","33630"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Property","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Property","Outside London","100","[c]","27810","27300"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Property","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Science and Engineering","Outside London","80","[c]","28180","25190"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Security","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Security","Outside London","245","[c]","29300","25680"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Unknown","Outside London","45","[c]","34160","28910"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Operational Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Planning","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Digital, Data and Technology","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Finance","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Finance","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Human Resources","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Human Resources","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Operational Delivery","London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Operational Delivery","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Policy","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Ministry of Justice (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Operational Delivery","London","30","[c]","54060","48070"
"Leaver CS","2021","White","National Crime Agency","Operational Delivery","Outside London","70","[c]","39710","39230"
"Leaver CS","2021","White","National Crime Agency","Operational Delivery","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Crime Agency","Security","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Infrastructure Commission","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Infrastructure Commission","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Records of Scotland","Unknown","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Other","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Other","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","National Savings and Investments","Security","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Northern Ireland Office","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Northern Ireland Office","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Northern Ireland Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Northern Ireland Office","Other","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Northern Ireland Office","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Budget Responsibility","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","Outside London","45","[c]","66480","75500"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Other","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Other","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Social Research","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Social Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Statistics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office for Standards in Education, Children's Services and Skills","Statistics","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Economics","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Operational Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Other","London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Other","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Project Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Gas and Electricity Markets","Science and Engineering","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Operational Delivery","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Qualifications and Examinations Regulation","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of Rail and Road","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Public Guardian","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Public Guardian","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Public Guardian","Legal","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Public Guardian","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Public Guardian","Operational Delivery","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","Office of the Scottish Charity Regulator","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Operational Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Planning Inspectors","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","White","Planning Inspectorate","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Communications","London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Communications","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Digital, Data and Technology","London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Human Resources","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Knowledge and Information Management","London","25","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Knowledge and Information Management","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Medicine","London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Medicine","Outside London","35","[c]","81970","104580"
"Leaver CS","2021","White","Public Health England","Operational Delivery","London","85","[c]","43220","36330"
"Leaver CS","2021","White","Public Health England","Operational Delivery","Outside London","95","[c]","36950","30460"
"Leaver CS","2021","White","Public Health England","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Public Health England","Science and Engineering","London","40","[c]","41990","40510"
"Leaver CS","2021","White","Public Health England","Science and Engineering","Outside London","145","[c]","32960","28870"
"Leaver CS","2021","White","Queen Elizabeth II Centre","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Queen Elizabeth II Centre","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Operational Delivery","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Registers of Scotland","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Revenue Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Royal Fleet Auxiliary","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Rural Payments Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Rural Payments Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Rural Payments Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Courts and Tribunals Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Courts and Tribunals Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Fiscal Commission","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Forestry","Unknown","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Government (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Government (excl. agencies)","Unknown","Outside London","175","[c]","43270","35110"
"Leaver CS","2021","White","Scottish Government (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Housing Regulator","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Human Resources","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Operational Delivery","Outside London","55","[c]","34190","33650"
"Leaver CS","2021","White","Scottish Prison Service","Other","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Prison Service","Psychology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Scottish Public Pensions Agency","Unknown","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Counter Fraud","London","5","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Legal","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Other","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Serious Fraud Office","Policy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Social Security Scotland","Unknown","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","White","Standards and Testing Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Standards and Testing Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Student Awards Agency for Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Submarine Delivery Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
