"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Haringey and Islington","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Haringey and Islington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Lambeth","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Lambeth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Lambeth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Lambeth","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Tower Hamlets","Heterosexual / straight","45","45","44190","40400"
"In post","2021","Commercial","Inner London - East","Tower Hamlets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Tower Hamlets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Tower Hamlets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Wandsworth","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Wandsworth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Westminster","Heterosexual / straight","365","355","49760","44440"
"In post","2021","Commercial","Inner London - West","Westminster","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Westminster","Undeclared","35","30","51270","44120"
"In post","2021","Commercial","Inner London - West","Westminster","Unknown","145","140","51280","42680"
"In post","2021","Commercial","Kent","East Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Kent Thames Gateway","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Kent","Kent Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Kent Thames Gateway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Kent Thames Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Medway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Medway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Mid Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Mid Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Mid Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","West Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","West Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Blackpool","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Chorley and West Lancashire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Lancashire","Chorley and West Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Chorley and West Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","East Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","East Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Lancaster and Wyre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Lancaster and Wyre","LGBO","[c]","[c]","[c]","[c]"
