"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Science and Engineering","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Outside London","AA/AO","320","315","21050","21050"
"In post","2021","20-29","Science and Engineering","Outside London","EO","745","745","25030","26070"
"In post","2021","20-29","Science and Engineering","Outside London","G6/G7","15","15","48860","47550"
"In post","2021","20-29","Science and Engineering","Outside London","SEO/HEO","1140","1135","31990","30530"
"In post","2021","20-29","Science and Engineering","Outside London","Unknown","200","200","29210","27800"
"In post","2021","20-29","Science and Engineering","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Overseas","SEO/HEO","15","15","40230","41200"
"In post","2021","20-29","Science and Engineering","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Security","London","AA/AO","65","65","25920","24900"
"In post","2021","20-29","Security","London","EO","35","35","29210","29300"
"In post","2021","20-29","Security","London","G6/G7","10","10","56470","54650"
"In post","2021","20-29","Security","London","SEO/HEO","65","65","37640","35070"
"In post","2021","20-29","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Outside London","AA/AO","745","745","24850","25390"
"In post","2021","20-29","Security","Outside London","EO","75","75","26770","25560"
"In post","2021","20-29","Security","Outside London","SEO/HEO","65","65","32770","31810"
"In post","2021","20-29","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Social Research","London","EO","15","15","33680","34320"
"In post","2021","20-29","Social Research","London","G6/G7","25","25","56370","57430"
"In post","2021","20-29","Social Research","London","SEO/HEO","145","145","36770","35010"
"In post","2021","20-29","Social Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","Outside London","EO","10","10","25840","25880"
"In post","2021","20-29","Social Research","Outside London","G6/G7","15","15","49550","49100"
"In post","2021","20-29","Social Research","Outside London","SEO/HEO","195","195","32720","29540"
"In post","2021","20-29","Statistics","London","AA/AO","15","15","23440","22390"
"In post","2021","20-29","Statistics","London","EO","60","60","29630","29970"
"In post","2021","20-29","Statistics","London","G6/G7","45","45","53560","54380"
"In post","2021","20-29","Statistics","London","SEO/HEO","200","200","37490","36160"
"In post","2021","20-29","Statistics","Outside London","AA/AO","10","10","20250","19640"
"In post","2021","20-29","Statistics","Outside London","EO","70","65","25230","25100"
"In post","2021","20-29","Statistics","Outside London","G6/G7","20","20","49270","49100"
"In post","2021","20-29","Statistics","Outside London","SEO/HEO","225","225","33480","31810"
"In post","2021","20-29","Tax","London","AA/AO","10","10","24120","24120"
"In post","2021","20-29","Tax","London","EO","55","55","29530","29570"
