"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","20-29","Counter Fraud","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Counter Fraud","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Counter Fraud","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Counter Fraud","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Cabinet Office (excl. agencies)","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Cabinet Office (excl. agencies)","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Public Health England","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","Public Health England","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Defence Equipment and Support","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Ministry of Justice (excl. agencies)","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Finance","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Grants Management","Rural Payments Agency","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Grants Management","Rural Payments Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Cabinet Office (excl. agencies)","Female","45","[c]","28410","27500"
"Leaver Dept.","2021","20-29","Human Resources","Cabinet Office (excl. agencies)","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Defence (excl. agencies)","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Defence (excl. agencies)","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Justice (excl. agencies)","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","National Crime Agency","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Human Resources","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Internal Audit","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Internal Audit","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Internal Audit","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Internal Audit","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Crown Prosecution Service","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Crown Prosecution Service","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Government Legal Department","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Government Legal Department","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Scottish Courts and Tribunals Service","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Animal and Plant Health Agency","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Animal and Plant Health Agency","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Cabinet Office (excl. agencies)","Female","340","[c]","32750","32000"
"Leaver Dept.","2021","20-29","No function","Cabinet Office (excl. agencies)","Male","250","[c]","33350","32000"
"Leaver Dept.","2021","20-29","No function","Companies House","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Companies House","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Defence Science and Technology Laboratory","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Defence Science and Technology Laboratory","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","85","[c]","38260","33640"
"Leaver Dept.","2021","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","75","[c]","38610","33640"
"Leaver Dept.","2021","20-29","No function","Department for Digital, Culture, Media and Sport","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Department for Digital, Culture, Media and Sport","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","90","[c]","35460","33120"
"Leaver Dept.","2021","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","75","[c]","35410","33510"
"Leaver Dept.","2021","20-29","No function","Department for International Trade","Female","50","[c]","36170","32120"
"Leaver Dept.","2021","20-29","No function","Department for International Trade","Male","40","[c]","37710","34170"
"Leaver Dept.","2021","20-29","No function","Driver and Vehicle Licensing Agency","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Driver and Vehicle Licensing Agency","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Driver and Vehicle Standards Agency","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Health and Safety Executive","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","HM Courts and Tribunals Service","Female","80","[c]","21380","19930"
"Leaver Dept.","2021","20-29","No function","HM Courts and Tribunals Service","Male","35","[c]","21570","19930"
"Leaver Dept.","2021","20-29","No function","HM Prison and Probation Service","Female","60","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","HM Prison and Probation Service","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","HM Treasury (excl. agencies)","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","HM Treasury (excl. agencies)","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Insolvency Service","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Insolvency Service","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Legal Aid Agency","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Legal Aid Agency","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Maritime and Coastguard Agency","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","50","[c]","32850","32560"
"Leaver Dept.","2021","20-29","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","65","[c]","32850","32560"
"Leaver Dept.","2021","20-29","No function","Ministry of Justice (excl. agencies)","Female","45","[c]","33570","30850"
"Leaver Dept.","2021","20-29","No function","Ministry of Justice (excl. agencies)","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office of Gas and Electricity Markets","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office of Gas and Electricity Markets","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office of the Public Guardian","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Office of the Public Guardian","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Public Health England","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Public Health England","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","United Kingdom Statistics Authority","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","United Kingdom Statistics Authority","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","No function","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Companies House","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Companies House","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Defence Equipment and Support","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Defence Equipment and Support","Male","45","[c]","27230","27540"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for International Development","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for International Development","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Project Delivery","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
