"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Chinese","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Debt","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Debt","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SEO/HEO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","EO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","EO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","G6/G7","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","G6/G7","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SEO/HEO","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SEO/HEO","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","AA/AO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","EO","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","EO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","G6/G7","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","G6/G7","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SEO/HEO","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SEO/HEO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
