"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","National Crime Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","EO","55","55","23490","22400"
"In post","2021","Commercial","Other Cabinet Office Agencies","G6/G7","40","40","47690","47340"
"In post","2021","Commercial","Other Cabinet Office Agencies","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","SEO/HEO","265","260","33250","34800"
"In post","2021","Commercial","Scottish Government","AA/AO","55","50","23570","24450"
"In post","2021","Commercial","Scottish Government","EO","10","10","30030","29670"
"In post","2021","Commercial","Scottish Government","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Government","SEO/HEO","25","25","41010","39500"
"In post","2021","Commercial","The National Archives","AA/AO","20","15","21940","21680"
"In post","2021","Commercial","The National Archives","EO","5","5","[c]","[c]"
"In post","2021","Commercial","The National Archives","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","The National Archives","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","EO","15","15","29450","29000"
"In post","2021","Commercial","UK Export Finance","G6/G7","60","60","67590","65320"
"In post","2021","Commercial","UK Export Finance","SCS level","10","10","119260","108970"
"In post","2021","Commercial","UK Export Finance","SEO/HEO","105","105","42940","43700"
"In post","2021","Commercial","United Kingdom Statistics Authority","G6/G7","15","15","56630","59300"
"In post","2021","Commercial","United Kingdom Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SEO/HEO","15","15","33150","31910"
"In post","2021","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","EO","15","15","27370","27350"
"In post","2021","Communications","Attorney General's Departments","G6/G7","20","20","59430","55530"
"In post","2021","Communications","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","SEO/HEO","50","50","37490","38590"
"In post","2021","Communications","Cabinet Office","AA/AO","10","10","24120","24490"
"In post","2021","Communications","Cabinet Office","EO","40","40","27250","27500"
"In post","2021","Communications","Cabinet Office","G6/G7","120","115","59330","56610"
"In post","2021","Communications","Cabinet Office","SCS level","20","20","87410","82070"
"In post","2021","Communications","Cabinet Office","SEO/HEO","155","150","38750","39370"
"In post","2021","Communications","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Communications","Charity Commission","EO","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SEO/HEO","20","15","33480","30610"
"In post","2021","Communications","Competition and Markets Authority","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","G6/G7","10","10","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SEO/HEO","15","15","39190","41300"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","23620","24900"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","EO","25","20","26680","26920"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","60","55","59510","58650"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","130","125","39360","38690"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","G6/G7","20","20","65720","64100"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","20","20","43460","39660"
"In post","2021","Communications","Department for Education","AA/AO","15","15","21800","21000"
"In post","2021","Communications","Department for Education","EO","80","75","27360","26000"
"In post","2021","Communications","Department for Education","G6/G7","80","75","56630","54400"
"In post","2021","Communications","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","SEO/HEO","150","145","37540","36960"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","AA/AO","25","25","20660","21050"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","EO","60","55","25980","25450"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","G6/G7","90","85","53670","53200"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","195","185","35190","36210"
"In post","2021","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","EO","10","10","[c]","[c]"
"In post","2021","Communications","Department for International Trade","G6/G7","35","35","54650","53950"
"In post","2021","Communications","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","SEO/HEO","55","55","35110","33560"
"In post","2021","Communications","Department for Transport","AA/AO","40","35","21580","21590"
"In post","2021","Communications","Department for Transport","EO","65","60","26580","26470"
"In post","2021","Communications","Department for Transport","G6/G7","60","55","57950","54760"
"In post","2021","Communications","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","SEO/HEO","135","130","37500","37310"
"In post","2021","Communications","Department for Work and Pensions","G6/G7","10","10","55350","55130"
"In post","2021","Communications","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","SEO/HEO","20","20","37180","35910"
"In post","2021","Communications","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","EO","70","70","27490","27270"
"In post","2021","Communications","Department of Health and Social Care","G6/G7","100","95","58730","55150"
"In post","2021","Communications","Department of Health and Social Care","SCS level","20","15","85100","78130"
"In post","2021","Communications","Department of Health and Social Care","SEO/HEO","120","115","36600","35340"
"In post","2021","Communications","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","G6/G7","5","5","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SEO/HEO","25","25","38100","37910"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","EO","10","10","30200","30630"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","G6/G7","45","40","59330","57420"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SCS level","10","10","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SEO/HEO","75","75","41630","41310"
"In post","2021","Communications","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
