"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","20-29","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Project Delivery","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","AA/AO","Heterosexual / straight","45","[c]","20430","20880"
"New entrant CS","2021","20-29","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","AA/AO","Unknown","45","[c]","21400","20880"
"New entrant CS","2021","20-29","Property","EO","Heterosexual / straight","45","[c]","25200","24500"
"New entrant CS","2021","20-29","Property","EO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","EO","Unknown","30","[c]","25510","24500"
"New entrant CS","2021","20-29","Property","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","SEO/HEO","Heterosexual / straight","45","[c]","33630","33000"
"New entrant CS","2021","20-29","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","SEO/HEO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","AA/AO","Heterosexual / straight","100","[c]","22630","22650"
"New entrant CS","2021","20-29","Security","AA/AO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","AA/AO","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","AA/AO","Unknown","100","[c]","22970","23540"
