"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Commercial","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Justice","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Justice","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Other Cabinet Office Agencies","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Other Cabinet Office Agencies","Male","30","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Scottish Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","UK Export Finance","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","UK Export Finance","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","United Kingdom Statistics Authority","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Cabinet Office","Female","55","[c]","34110","34550"
"New entrant CS","2021","Communications","Cabinet Office","Male","35","[c]","36760","34550"
"New entrant CS","2021","Communications","Charity Commission","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Business, Energy and Industrial Strategy","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Business, Energy and Industrial Strategy","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Education","Female","40","[c]","31100","28500"
"New entrant CS","2021","Communications","Department for Education","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Environment, Food and Rural Affairs","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Environment, Food and Rural Affairs","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for International Trade","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Transport","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Transport","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department of Health and Social Care","Female","40","[c]","36070","27930"
"New entrant CS","2021","Communications","Department of Health and Social Care","Male","35","[c]","43400","40650"
"New entrant CS","2021","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Revenue and Customs","Female","320","[c]","26560","25560"
"New entrant CS","2021","Communications","HM Revenue and Customs","Male","435","[c]","26700","25560"
"New entrant CS","2021","Communications","HM Treasury","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Defence","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Defence","Male","40","[c]","28480","25500"
"New entrant CS","2021","Communications","Ministry of Housing, Communities and Local Government","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Housing, Communities and Local Government","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Justice","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","National Crime Agency","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scotland Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scotland Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scottish Government","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scottish Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","The National Archives","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","The National Archives","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Export Finance","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","United Kingdom Statistics Authority","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Communications","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Wales Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Wales Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Welsh Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Welsh Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Attorney General's Departments","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Cabinet Office","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Cabinet Office","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Transport","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Transport","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Food Standards Agency","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","HM Revenue and Customs","Female","60","[c]","28440","25560"
"New entrant CS","2021","Counter Fraud","HM Revenue and Customs","Male","65","[c]","28090","25560"
"New entrant CS","2021","Counter Fraud","HM Treasury","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","HM Treasury","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","HM Revenue and Customs","Female","510","[c]","20440","20140"
"New entrant CS","2021","Debt","HM Revenue and Customs","Male","460","[c]","20510","20140"
"New entrant CS","2021","Debt","HM Treasury","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","HM Treasury","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Attorney General's Departments","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Cabinet Office","Female","90","[c]","41770","40600"
"New entrant CS","2021","Digital, Data & Technology","Cabinet Office","Male","95","[c]","46200","49700"
"New entrant CS","2021","Digital, Data & Technology","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Charity Commission","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Competition and Markets Authority","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","45","[c]","33980","32060"
"New entrant CS","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","100","[c]","35830","32060"
"New entrant CS","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for Education","Female","35","[c]","40670","36500"
"New entrant CS","2021","Digital, Data & Technology","Department for Education","Male","55","[c]","40080","36500"
"New entrant CS","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","55","[c]","36640","35900"
"New entrant CS","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","85","[c]","41630","38750"
"New entrant CS","2021","Digital, Data & Technology","Department for International Trade","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for International Trade","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for Transport","Female","35","[c]","38260","35220"
"New entrant CS","2021","Digital, Data & Technology","Department for Transport","Male","110","[c]","37990","32010"
"New entrant CS","2021","Digital, Data & Technology","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department of Health and Social Care","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Department of Health and Social Care","Male","30","[c]","44330","36820"
"New entrant CS","2021","Digital, Data & Technology","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","Female","35","[c]","30730","27130"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","Male","65","[c]","32350","27130"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs","Female","100","[c]","37400","31810"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs","Male","160","[c]","37760","31810"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence","Female","35","[c]","27120","26350"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence","Male","55","[c]","32370","33000"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice","Female","80","[c]","45260","43960"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice","Male","135","[c]","52240","52910"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","Female","35","[c]","34410","32260"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","Male","30","[c]","38280","32260"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Male","35","[c]","42690","46920"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Female","45","[c]","38860","31320"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Male","85","[c]","37000","36030"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Charity Commission","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Charity Commission","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care","Female","110","[c]","36120","32790"
"New entrant CS","2021","Finance","Department of Health and Social Care","Male","70","[c]","35980","32790"
"New entrant CS","2021","Finance","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs","Male","30","[c]","28970","20140"
"New entrant CS","2021","Finance","HM Treasury","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","Female","105","[c]","29750","26350"
"New entrant CS","2021","Finance","Ministry of Defence","Male","80","[c]","33090","27050"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other Cabinet Office Agencies","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other Cabinet Office Agencies","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Department for Environment, Food and Rural Affairs","Female","30","[c]","22430","21050"
"New entrant CS","2021","Grants Management","Department for Environment, Food and Rural Affairs","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Attorney General's Departments","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Attorney General's Departments","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office","Female","70","[c]","31470","27750"
"New entrant CS","2021","Human Resources","Cabinet Office","Male","40","[c]","31570","27750"
"New entrant CS","2021","Human Resources","Chancellor's other departments","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Work and Pensions","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Female","70","[c]","31780","27270"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs","Female","35","[c]","44300","36640"
"New entrant CS","2021","Human Resources","HM Revenue and Customs","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","Female","140","[c]","27360","20920"
"New entrant CS","2021","Human Resources","Ministry of Defence","Male","45","[c]","32870","21550"
"New entrant CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Justice","Female","40","[c]","34470","30990"
"New entrant CS","2021","Human Resources","Ministry of Justice","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","National Crime Agency","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","National Crime Agency","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Gas and Electricity Markets","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other Cabinet Office Agencies","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","The National Archives","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","The National Archives","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","UK Export Finance","Female","5","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","United Kingdom Statistics Authority","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","United Kingdom Statistics Authority","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Wales Office","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Wales Office","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Welsh Government","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Welsh Government","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
