"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","West Yorkshire","Leeds","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Leeds","Unknown","105","95","40740","34480"
"In post","2021","Attorney General's Departments","West Yorkshire","Wakefield","Heterosexual / straight","60","55","33550","28430"
"In post","2021","Attorney General's Departments","West Yorkshire","Wakefield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Wakefield","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Yorkshire","Wakefield","Unknown","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","50","50","32070","33300"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","10","5","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","35","30","27380","26350"
