"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","30-39","Communications","Department for International Trade","Department for International Trade","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Public Health England","Department of Health and Social Care","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Counter Fraud","Serious Fraud Office","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","20","[c]","52530","54700"
"Leaver CS","2021","30-39","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","HM Land Registry","HM Land Registry","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Public Health England","Department of Health and Social Care","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","United Kingdom Statistics Authority","United Kingdom Statistics Authority","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","[c]","23040","21050"
"Leaver CS","2021","30-39","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Crown Prosecution Service","Attorney General's Departments","35","[c]","41440","50520"
"Leaver CS","2021","30-39","Legal","Government Legal Department","Attorney General's Departments","30","[c]","49610","51010"
"Leaver CS","2021","30-39","Legal","HM Courts and Tribunals Service","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","Scottish Courts and Tribunals Service","Scottish Government","15","[c]","24820","20850"
"Leaver CS","2021","30-39","Legal","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Legal","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","20","[c]","29660","28590"
"Leaver CS","2021","30-39","No function","Cabinet Office (excl. agencies)","Cabinet Office","35","[c]","48350","54700"
"Leaver CS","2021","30-39","No function","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Crown Office and Procurator Fiscal Service","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Defence Science and Technology Laboratory","Ministry of Defence","15","[c]","37340","37320"
"Leaver CS","2021","30-39","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","45","[c]","48290","52080"
"Leaver CS","2021","30-39","No function","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20","[c]","40550","34280"
"Leaver CS","2021","30-39","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","30","[c]","44450","39780"
"Leaver CS","2021","30-39","No function","Department for International Trade","Department for International Trade","10","[c]","49160","50700"
"Leaver CS","2021","30-39","No function","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Driver and Vehicle Licensing Agency","Department for Transport","40","[c]","20590","21590"
"Leaver CS","2021","30-39","No function","Driver and Vehicle Standards Agency","Department for Transport","10","[c]","24970","26060"
"Leaver CS","2021","30-39","No function","Food Standards Agency","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Health and Safety Executive","Department for Work and Pensions","10","[c]","33770","30820"
"Leaver CS","2021","30-39","No function","HM Courts and Tribunals Service","Ministry of Justice","120","[c]","21400","19930"
"Leaver CS","2021","30-39","No function","HM Land Registry","HM Land Registry","15","[c]","23620","22350"
"Leaver CS","2021","30-39","No function","HM Prison and Probation Service","Ministry of Justice","850","[c]","27570","29060"
"Leaver CS","2021","30-39","No function","HM Treasury (excl. agencies)","HM Treasury","20","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Insolvency Service","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Legal Aid Agency","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Maritime and Coastguard Agency","Department for Transport","25","[c]","29110","26590"
"Leaver CS","2021","30-39","No function","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","10","[c]","38650","32880"
"Leaver CS","2021","30-39","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","National Crime Agency","National Crime Agency","20","[c]","38610","39190"
"Leaver CS","2021","30-39","No function","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","10","[c]","35630","25880"
"Leaver CS","2021","30-39","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","15","[c]","41260","36690"
"Leaver CS","2021","30-39","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Office of the Public Guardian","Ministry of Justice","10","[c]","20880","20650"
"Leaver CS","2021","30-39","No function","Planning Inspectorate","Ministry of Housing, Communities and Local Government","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Public Health England","Department of Health and Social Care","175","[c]","36070","34380"
"Leaver CS","2021","30-39","No function","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Scottish Prison Service","Scottish Government","40","[c]","28140","27190"
"Leaver CS","2021","30-39","No function","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","The National Archives","The National Archives","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","United Kingdom Statistics Authority","United Kingdom Statistics Authority","25","[c]","33610","29540"
"Leaver CS","2021","30-39","No function","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","No function","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Competition and Markets Authority","Competition and Markets Authority","10","[c]","60590","72070"
"Leaver CS","2021","30-39","Project Delivery","Defence Equipment and Support","Ministry of Defence","60","[c]","32200","32120"
"Leaver CS","2021","30-39","Project Delivery","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Department for International Development","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","[c]","47570","46820"
"Leaver CS","2021","30-39","Project Delivery","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","36490","33300"
"Leaver CS","2021","30-39","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Submarine Delivery Agency","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Forestry and Land Scotland","Scottish Government","10","[c]","28750","28120"
"Leaver CS","2021","30-39","Property","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","10","[c]","22310","18780"
"Leaver CS","2021","30-39","Property","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Property","Valuation Office Agency","HM Revenue and Customs","15","[c]","30760","21100"
"Leaver CS","2021","30-39","Property","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","Cabinet Office (excl. agencies)","Cabinet Office","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","40","[c]","31380","28750"
"Leaver CS","2021","30-39","Security","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Department for Education (excl. agencies)","Department for Education","80","[c]","46040","46280"
"Leaver CS","2021","30-39","Unknown","Department for Transport (excl. agencies)","Department for Transport","15","[c]","45760","43770"
"Leaver CS","2021","30-39","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","550","[c]","26220","27570"
"Leaver CS","2021","30-39","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Education and Skills Funding Agency","Department for Education","15","[c]","39720","38210"
"Leaver CS","2021","30-39","Unknown","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","465","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Home Office (incl. agencies)","Home Office","210","[c]","29360","25310"
"Leaver CS","2021","30-39","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","[c]","43170","40020"
"Leaver CS","2021","30-39","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","170","[c]","30680","29930"
"Leaver CS","2021","30-39","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Royal Fleet Auxiliary","Ministry of Defence","25","[c]","27020","29880"
"Leaver CS","2021","30-39","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Scottish Government (excl. agencies)","Scottish Government","45","[c]","36010","32140"
"Leaver CS","2021","30-39","Unknown","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Social Security Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Welsh Government (excl. agencies)","Welsh Government","20","[c]","36690","30700"
"Leaver CS","2021","40-49","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
