"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Inspector of Education and Training","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","75","70","66220","70500"
"In post","2021","Inspector of Education and Training","Wales","East Wales","65","60","74480","74730"
"In post","2021","Inspector of Education and Training","West Midlands (England)","West Midlands","100","100","65740","64500"
"In post","2021","Inspector of Education and Training","Yorkshire and The Humber","North Yorkshire","115","115","66660","70500"
"In post","2021","Intelligence Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","32510","28170"
"In post","2021","Intelligence Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","55","50","27660","26590"
"In post","2021","Intelligence Analysis","East Midlands (England)","Lincolnshire","45","45","30550","32670"
"In post","2021","Intelligence Analysis","East of England","Bedfordshire and Hertfordshire","20","20","30700","27380"
"In post","2021","Intelligence Analysis","East of England","East Anglia","380","375","32740","33300"
"In post","2021","Intelligence Analysis","East of England","Essex","20","20","27960","27370"
"In post","2021","Intelligence Analysis","London","Inner London - East","100","100","41770","36160"
"In post","2021","Intelligence Analysis","London","Inner London - West","700","685","47090","45200"
"In post","2021","Intelligence Analysis","London","Outer London - East and North East","15","15","32390","30110"
"In post","2021","Intelligence Analysis","London","Outer London - South","150","140","34760","30500"
"In post","2021","Intelligence Analysis","London","Outer London - West and North West","450","420","32690","30150"
"In post","2021","Intelligence Analysis","North East (England)","Northumberland and Tyne and Wear","35","35","34260","31810"
"In post","2021","Intelligence Analysis","North East (England)","Tees Valley and Durham","35","35","32090","31610"
"In post","2021","Intelligence Analysis","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","North West (England)","Greater Manchester","240","230","28240","25690"
"In post","2021","Intelligence Analysis","North West (England)","Lancashire","20","15","27740","27380"
"In post","2021","Intelligence Analysis","North West (England)","Merseyside","100","90","29100","27370"
"In post","2021","Intelligence Analysis","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","Overseas","70","70","43800","40560"
"In post","2021","Intelligence Analysis","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Scotland","West Central Scotland","60","55","30840","30830"
"In post","2021","Intelligence Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","30","30","34260","31180"
"In post","2021","Intelligence Analysis","South East (England)","Hampshire and Isle of Wight","55","50","27550","26670"
"In post","2021","Intelligence Analysis","South East (England)","Kent","270","255","28420","27370"
"In post","2021","Intelligence Analysis","South East (England)","Surrey, East and West Sussex","40","35","29160","28350"
"In post","2021","Intelligence Analysis","South West (England)","Devon","10","10","28220","25830"
"In post","2021","Intelligence Analysis","South West (England)","Dorset and Somerset","10","10","26770","27120"
"In post","2021","Intelligence Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","33700","30120"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Wales","East Wales","40","40","30360","27380"
"In post","2021","Intelligence Analysis","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","15","15","33320","28330"
"In post","2021","Intelligence Analysis","West Midlands (England)","Shropshire and Staffordshire","20","20","29050","28800"
"In post","2021","Intelligence Analysis","West Midlands (England)","West Midlands","55","50","31960","27770"
"In post","2021","Intelligence Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","60","60","28420","27370"
"In post","2021","Intelligence Analysis","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Yorkshire and The Humber","South Yorkshire","95","90","28580","26610"
"In post","2021","Intelligence Analysis","Yorkshire and The Humber","West Yorkshire","115","110","39390","33520"
