"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Charity Commission","EO","Female","15","15","[c]","[c]"
"In post","2021","50-59","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2021","50-59","Charity Commission","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","50-59","Charity Commission","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","50-59","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Charity Commission","SEO/HEO","Female","45","40","34310","32810"
"In post","2021","50-59","Charity Commission","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","EO","Female","10","10","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","EO","Male","10","10","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","G6/G7","Male","35","35","67310","63710"
"In post","2021","50-59","Competition and Markets Authority","SCS level","Female","15","15","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","SCS level","Male","25","25","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","50-59","Competition and Markets Authority","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","AA/AO","Female","240","215","21840","21140"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","AA/AO","Male","120","120","21830","21000"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","EO","Female","255","240","26820","26410"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","EO","Male","170","165","27360","27290"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","G6/G7","Female","295","280","57940","56950"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","G6/G7","Male","505","495","58790","58430"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","SCS level","Female","35","35","89720","82600"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","SCS level","Male","85","85","87950","78680"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","520","490","37740","37700"
"In post","2021","50-59","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","675","665","39400","39650"
