"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Statistics","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","G6/G7","G7","20","[c]","61710","58360"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Digital, Data and Technology","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Economics","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Legal","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Legal","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","AA/AO","AO","20","[c]","21380","22680"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","EO","EO","30","[c]","25720","26410"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","SEO/HEO","HEO","15","[c]","30850","30850"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","SEO/HEO","SEO","15","[c]","38950","38860"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Operational Research","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Other","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Other","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Policy","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Property","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Social Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Statistics","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Statistics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice (excl. agencies)","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data and Technology","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Operational Delivery","AA/AO","AO","10","[c]","23950","24610"
"Leaver CS","2021","National Crime Agency","Operational Delivery","EO","EO","60","[c]","34520","34300"
"Leaver CS","2021","National Crime Agency","Operational Delivery","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Operational Delivery","G6/G7","G7","10","[c]","62380","60990"
"Leaver CS","2021","National Crime Agency","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Operational Delivery","SEO/HEO","HEO","40","[c]","43270","42430"
"Leaver CS","2021","National Crime Agency","Operational Delivery","SEO/HEO","SEO","25","[c]","49250","48250"
"Leaver CS","2021","National Crime Agency","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Policy","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Infrastructure Commission","Policy","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","National Records of Scotland","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Other","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Other","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Savings and Investments","Security","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Budget Responsibility","Economics","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","G6/G7","G7","30","[c]","75150","75500"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","SEO/HEO","SEO","30","[c]","50400","51360"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Legal","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Operational Delivery","AA/AO","AO","15","[c]","21050","21160"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Operational Delivery","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Other","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Other","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Policy","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Property","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Social Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Social Research","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education, Children's Services and Skills","Statistics","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Economics","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Economics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Legal","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Operational Delivery","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Operational Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","EO","EO","10","[c]","25340","25750"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Other","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Property","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Science and Engineering","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Operational Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Operational Research","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Operational Delivery","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Property","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Science and Engineering","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Knowledge and Information Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Legal","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Legal","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Public Guardian","Operational Delivery","AA/AO","AO","35","[c]","19720","19930"
"Leaver CS","2021","Office of the Public Guardian","Operational Delivery","EO","EO","10","[c]","21750","21280"
"Leaver CS","2021","Office of the Public Guardian","Operational Delivery","SEO/HEO","HEO","10","[c]","26540","26550"
"Leaver CS","2021","Office of the Public Guardian","Operational Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of the Scottish Charity Regulator","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Digital, Data and Technology","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Knowledge and Information Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Operational Delivery","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Operational Delivery","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Operational Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Planning Inspectors","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectorate","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Communications","SEO/HEO","HEO","10","[c]","32920","32650"
"Leaver CS","2021","Public Health England","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Digital, Data and Technology","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Digital, Data and Technology","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Finance","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Public Health England","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
