"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","20-29","Unknown","Unknown","Scotland","90","[c]","26620","27150"
"Leaver CS","2021","20-29","Unknown","Unknown","South East (England)","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","South West (England)","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","Unknown","145","[c]","28080","27570"
"Leaver CS","2021","20-29","Unknown","Unknown","Wales","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","West Midlands (England)","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","Yorkshire and The Humber","55","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Counter Fraud","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Grants Management","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Grants Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Grants Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
