"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North East (England)","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Female","Heterosexual / straight","2460","2275","34370","32570"
"In post","2021","North East (England)","SEO/HEO","Female","LGBO","105","100","34180","32000"
"In post","2021","North East (England)","SEO/HEO","Female","Undeclared","215","195","35100","33840"
"In post","2021","North East (England)","SEO/HEO","Female","Unknown","565","535","33800","31990"
"In post","2021","North East (England)","SEO/HEO","Male","Heterosexual / straight","1845","1790","35450","34290"
"In post","2021","North East (England)","SEO/HEO","Male","LGBO","120","120","33920","31990"
"In post","2021","North East (England)","SEO/HEO","Male","Undeclared","230","220","35980","34950"
"In post","2021","North East (England)","SEO/HEO","Male","Unknown","615","595","34930","32350"
"In post","2021","North East (England)","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Female","Heterosexual / straight","460","425","28970","28200"
"In post","2021","North East (England)","Unknown","Female","LGBO","25","20","[c]","[c]"
"In post","2021","North East (England)","Unknown","Female","Undeclared","35","30","32100","34340"
"In post","2021","North East (England)","Unknown","Female","Unknown","25","25","[c]","[c]"
"In post","2021","North East (England)","Unknown","Male","Heterosexual / straight","145","140","30120","30210"
"In post","2021","North East (England)","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2021","North East (England)","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","North East (England)","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Female","Heterosexual / straight","7570","6465","21050","21010"
"In post","2021","North West (England)","AA/AO","Female","LGBO","405","380","22130","21010"
"In post","2021","North West (England)","AA/AO","Female","Undeclared","915","765","21150","21010"
"In post","2021","North West (England)","AA/AO","Female","Unknown","3545","2940","21130","21010"
"In post","2021","North West (England)","AA/AO","Male","Heterosexual / straight","5120","4890","22080","21010"
"In post","2021","North West (England)","AA/AO","Male","LGBO","350","340","21080","21010"
"In post","2021","North West (England)","AA/AO","Male","Undeclared","660","620","22060","21010"
"In post","2021","North West (England)","AA/AO","Male","Unknown","2545","2395","22410","21010"
"In post","2021","North West (England)","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","EO","Female","Heterosexual / straight","7440","6665","26730","27570"
"In post","2021","North West (England)","EO","Female","LGBO","330","315","27020","27570"
"In post","2021","North West (England)","EO","Female","Undeclared","835","735","26890","27570"
"In post","2021","North West (England)","EO","Female","Unknown","2255","1970","26870","27570"
"In post","2021","North West (England)","EO","Male","Heterosexual / straight","4765","4620","27050","27570"
"In post","2021","North West (England)","EO","Male","LGBO","410","405","26740","27570"
