"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Policy","SEO","440","425","40870","40220"
"In post","2021","Declared disabled","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AO","30","30","22160","21580"
"In post","2021","Declared disabled","Project Delivery","EO","210","200","26390","26670"
"In post","2021","Declared disabled","Project Delivery","G6","90","85","66500","66090"
"In post","2021","Declared disabled","Project Delivery","G7","245","240","53790","54540"
"In post","2021","Declared disabled","Project Delivery","HEO","425","410","33100","33300"
"In post","2021","Declared disabled","Project Delivery","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","SEO","395","375","40440","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","50","50","40340","39860"
"In post","2021","Declared disabled","Property","AA","35","35","17860","17230"
"In post","2021","Declared disabled","Property","AO","35","35","22970","21590"
"In post","2021","Declared disabled","Property","EO","130","120","27010","26670"
"In post","2021","Declared disabled","Property","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Property","G7","55","55","54210","54540"
"In post","2021","Declared disabled","Property","HEO","170","160","32780","33300"
"In post","2021","Declared disabled","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","SEO","110","110","41250","40580"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Psychology","EO","40","40","26780","27230"
"In post","2021","Declared disabled","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","HEO","40","40","30400","30810"
"In post","2021","Declared disabled","Psychology","SEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","AA","20","20","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","AO","125","120","22310","22500"
"In post","2021","Declared disabled","Science and Engineering","EO","165","160","26340","26930"
"In post","2021","Declared disabled","Science and Engineering","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","G7","165","155","52080","51470"
"In post","2021","Declared disabled","Science and Engineering","HEO","275","265","32220","32330"
"In post","2021","Declared disabled","Science and Engineering","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","SEO","280","265","40940","40640"
"In post","2021","Declared disabled","Science and Engineering","Unknown","60","55","41510","40440"
"In post","2021","Declared disabled","Security","AA","155","150","19940","19560"
"In post","2021","Declared disabled","Security","AO","185","180","32680","39070"
"In post","2021","Declared disabled","Security","EO","100","100","32400","28480"
"In post","2021","Declared disabled","Security","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Security","HEO","75","70","37060","34770"
"In post","2021","Declared disabled","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SEO","45","45","45750","44770"
"In post","2021","Declared disabled","Security","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Social Research","HEO","30","30","31800","31400"
"In post","2021","Declared disabled","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","SEO","45","45","40260","39460"
"In post","2021","Declared disabled","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Statistics","G6","15","15","[c]","[c]"
