"Status","Year","Disability","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","Swansea","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","Leeds","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","Nottingham","40","40","30210","26780"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","Dorset CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","Cardiff and Vale of Glamorgan","55","50","29000","25560"
