"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Wales","G6/G7","Female","40","[c]","58840","57720"
"Leaver CS","2021","Wales","G6/G7","Male","80","[c]","61100","59350"
"Leaver CS","2021","Wales","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Wales","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Wales","SEO/HEO","Female","155","[c]","36480","36560"
"Leaver CS","2021","Wales","SEO/HEO","Male","165","[c]","37450","37410"
"Leaver CS","2021","Wales","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Unknown","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","AA/AO","Female","530","[c]","20170","20270"
"Leaver CS","2021","West Midlands (England)","AA/AO","Male","395","[c]","20850","20650"
"Leaver CS","2021","West Midlands (England)","EO","Female","255","[c]","26700","27570"
"Leaver CS","2021","West Midlands (England)","EO","Male","165","[c]","26410","26490"
"Leaver CS","2021","West Midlands (England)","G6/G7","Female","60","[c]","59870","56500"
"Leaver CS","2021","West Midlands (England)","G6/G7","Male","65","[c]","64580","60510"
"Leaver CS","2021","West Midlands (England)","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","SEO/HEO","Female","175","[c]","37140","36390"
"Leaver CS","2021","West Midlands (England)","SEO/HEO","Male","135","[c]","37480","36780"
"Leaver CS","2021","West Midlands (England)","Unknown","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","AA/AO","Female","605","[c]","20470","21010"
"Leaver CS","2021","Yorkshire and The Humber","AA/AO","Male","480","[c]","21730","21010"
"Leaver CS","2021","Yorkshire and The Humber","EO","Female","325","[c]","26710","27570"
"Leaver CS","2021","Yorkshire and The Humber","EO","Male","225","[c]","26920","26930"
"Leaver CS","2021","Yorkshire and The Humber","G6/G7","Female","80","[c]","59220","56530"
"Leaver CS","2021","Yorkshire and The Humber","G6/G7","Male","110","[c]","59940","57870"
"Leaver CS","2021","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","SEO/HEO","Female","225","[c]","36090","34290"
"Leaver CS","2021","Yorkshire and The Humber","SEO/HEO","Male","195","[c]","37180","36480"
"Leaver CS","2021","Yorkshire and The Humber","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","AA/AO","Female","60","[c]","19960","18890"
"Leaver Dept.","2021","East Midlands (England)","AA/AO","Male","40","[c]","19520","19750"
"Leaver Dept.","2021","East Midlands (England)","EO","Female","45","[c]","24490","25820"
"Leaver Dept.","2021","East Midlands (England)","EO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","G6/G7","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","SEO/HEO","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","SEO/HEO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Unknown","Male","5","[c]","[c]","[c]"
