"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Analysis","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","80","75","32530","32010"
"In post","2021","20-29","Analysis","Greater Manchester","Outside London","110","110","33880","31810"
"In post","2021","20-29","Analysis","Hampshire and Isle of Wight","Outside London","240","240","31730","29540"
"In post","2021","20-29","Analysis","Inner London - East","London","210","210","38270","36160"
"In post","2021","20-29","Analysis","Inner London - West","London","1260","1250","38790","35640"
"In post","2021","20-29","Analysis","Merseyside","Outside London","20","20","33880","31810"
"In post","2021","20-29","Analysis","North Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Northumberland and Tyne and Wear","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Outer London - South","London","10","10","40660","36160"
"In post","2021","20-29","Analysis","South Yorkshire","Outside London","30","30","37360","37830"
"In post","2021","20-29","Analysis","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Midlands","Outside London","10","10","33550","33700"
"In post","2021","20-29","Analysis","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Yorkshire","Outside London","50","50","34310","29850"
"In post","2021","20-29","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","30","30","28240","26590"
"In post","2021","20-29","Commercial","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Derbyshire and Nottinghamshire","Outside London","5","5","[c]","[c]"
