"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","West Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","Heterosexual / straight","70","60","30650","27570"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Heterosexual / straight","115","110","39370","33680"
"In post","2021","Declared disabled","Other ethnicity","London","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Undeclared","75","65","29320","27380"
"In post","2021","Declared disabled","Undeclared","East Midlands (England)","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East of England","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East of England","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","East of England","Undeclared","60","55","32450","29290"
"In post","2021","Declared disabled","Undeclared","East of England","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","Heterosexual / straight","95","90","35700","31090"
"In post","2021","Declared disabled","Undeclared","London","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","Undeclared","255","240","39340","34550"
"In post","2021","Declared disabled","Undeclared","London","Unknown","40","40","35900","31480"
"In post","2021","Declared disabled","Undeclared","North East (England)","Heterosexual / straight","15","15","[c]","[c]"
