"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Unknown","Unknown","10","10","54130","58180"
"In post","2021","Human Resources","West Central Scotland","Outside London","495","465","25470","21580"
"In post","2021","Human Resources","West Midlands","Outside London","150","145","39410","37580"
"In post","2021","Human Resources","West Wales and The Valleys","Outside London","235","220","33640","31810"
"In post","2021","Human Resources","West Yorkshire","Outside London","195","185","40340","38180"
"In post","2021","Inspector of Education and Training","Derbyshire and Nottinghamshire","Outside London","70","65","64380","64500"
"In post","2021","Inspector of Education and Training","East Anglia","Outside London","90","85","65420","75500"
"In post","2021","Inspector of Education and Training","East Wales","Outside London","65","60","74480","74730"
"In post","2021","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","75","70","66220","70500"
"In post","2021","Inspector of Education and Training","Greater Manchester","Outside London","110","110","65190","64500"
"In post","2021","Inspector of Education and Training","Inner London - West","London","230","225","66190","64500"
"In post","2021","Inspector of Education and Training","North Yorkshire","Outside London","115","115","66660","70500"
"In post","2021","Inspector of Education and Training","West Midlands","Outside London","100","100","65740","64500"
"In post","2021","Intelligence Analysis","Bedfordshire and Hertfordshire","Outside London","20","20","30700","27380"
"In post","2021","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","30","30","34260","31180"
"In post","2021","Intelligence Analysis","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Derbyshire and Nottinghamshire","Outside London","30","30","32510","28170"
"In post","2021","Intelligence Analysis","Devon","Outside London","10","10","28220","25830"
"In post","2021","Intelligence Analysis","Dorset and Somerset","Outside London","10","10","26770","27120"
"In post","2021","Intelligence Analysis","East Anglia","Outside London","380","375","32740","33300"
"In post","2021","Intelligence Analysis","East Wales","Outside London","40","40","30360","27380"
"In post","2021","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","Outside London","60","60","28420","27370"
"In post","2021","Intelligence Analysis","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Essex","Outside London","20","20","27960","27370"
"In post","2021","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","30","30","33700","30120"
"In post","2021","Intelligence Analysis","Greater Manchester","Outside London","240","230","28240","25690"
"In post","2021","Intelligence Analysis","Hampshire and Isle of Wight","Outside London","55","50","27550","26670"
"In post","2021","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","15","15","33320","28330"
"In post","2021","Intelligence Analysis","Inner London - East","London","100","100","41770","36160"
"In post","2021","Intelligence Analysis","Inner London - West","London","700","685","47090","45200"
"In post","2021","Intelligence Analysis","Kent","Outside London","270","255","28420","27370"
"In post","2021","Intelligence Analysis","Lancashire","Outside London","20","15","27740","27380"
"In post","2021","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","55","50","27660","26590"
"In post","2021","Intelligence Analysis","Lincolnshire","Outside London","45","45","30550","32670"
"In post","2021","Intelligence Analysis","Merseyside","Outside London","100","90","29100","27370"
"In post","2021","Intelligence Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Northumberland and Tyne and Wear","Outside London","35","35","34260","31810"
"In post","2021","Intelligence Analysis","Outer London - East and North East","London","15","15","32390","30110"
"In post","2021","Intelligence Analysis","Outer London - South","London","150","140","34760","30500"
"In post","2021","Intelligence Analysis","Outer London - West and North West","London","450","420","32690","30150"
"In post","2021","Intelligence Analysis","Overseas","Overseas","70","70","43800","40560"
"In post","2021","Intelligence Analysis","Shropshire and Staffordshire","Outside London","20","20","29050","28800"
"In post","2021","Intelligence Analysis","South Yorkshire","Outside London","95","90","28580","26610"
"In post","2021","Intelligence Analysis","Surrey, East and West Sussex","Outside London","40","35","29160","28350"
"In post","2021","Intelligence Analysis","Tees Valley and Durham","Outside London","35","35","32090","31610"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","West Central Scotland","Outside London","60","55","30840","30830"
"In post","2021","Intelligence Analysis","West Midlands","Outside London","55","50","31960","27770"
"In post","2021","Intelligence Analysis","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","West Yorkshire","Outside London","115","110","39390","33520"
"In post","2021","Internal Audit","Bedfordshire and Hertfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Internal Audit","Berkshire, Buckinghamshire and Oxfordshire","Outside London","25","25","40000","39960"
"In post","2021","Internal Audit","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Derbyshire and Nottinghamshire","Outside London","25","20","41610","41820"
"In post","2021","Internal Audit","Devon","Outside London","15","15","45460","43550"
"In post","2021","Internal Audit","Dorset and Somerset","Outside London","10","5","[c]","[c]"
"In post","2021","Internal Audit","East Anglia","Outside London","15","15","42570","40580"
"In post","2021","Internal Audit","East Wales","Outside London","25","25","43910","43540"
"In post","2021","Internal Audit","Eastern Scotland","Outside London","10","5","[c]","[c]"
"In post","2021","Internal Audit","Essex","Outside London","10","10","[c]","[c]"
"In post","2021","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","70","70","43600","41650"
"In post","2021","Internal Audit","Greater Manchester","Outside London","30","30","39110","38630"
