"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Hertfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
