"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Operational Delivery","London","Heterosexual / straight","3605","3355","31060","28990"
"In post","2021","Asian","Operational Delivery","London","LGBO","65","55","30890","27490"
"In post","2021","Asian","Operational Delivery","London","Undeclared","330","295","29770","28670"
"In post","2021","Asian","Operational Delivery","London","Unknown","260","230","30580","26540"
"In post","2021","Asian","Operational Delivery","Outside London","Heterosexual / straight","4820","4410","25800","23130"
"In post","2021","Asian","Operational Delivery","Outside London","LGBO","115","100","24170","21440"
"In post","2021","Asian","Operational Delivery","Outside London","Undeclared","335","295","24790","21590"
"In post","2021","Asian","Operational Delivery","Outside London","Unknown","525","460","25530","21950"
"In post","2021","Asian","Operational Delivery","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Operational Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Operational Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","London","Heterosexual / straight","465","445","34300","29820"
"In post","2021","Asian","Other","London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Other","London","Undeclared","35","35","33920","30610"
"In post","2021","Asian","Other","London","Unknown","50","45","43100","36290"
"In post","2021","Asian","Other","Outside London","Heterosexual / straight","235","225","28570","24890"
"In post","2021","Asian","Other","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Other","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Other","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Other","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Planning","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","London","Heterosexual / straight","1385","1350","43620","39800"
