"Status","Year","Age","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","Heterosexual / straight","30","30","21790","21150"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","45","45","26860","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","55","55","26210","24250"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","315","310","25180","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","60","60","25700","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","40","40","26340","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","40","40","25710","24370"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","1070","1065","36450","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","195","195","37820","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","125","125","37930","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","2010","2005","32020","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","50","50","25010","24920"
"In post","2021","20-29","Charity Commission","Charity Commission","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","75","75","26640","24500"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","40","40","27100","24500"
